Model,URL,Price,Ratings
SAMSUNG Guru Plus B110,https://www.flipkart.com/samsung-guru-plus-b110/p/itme9efyzsgsqqce?pid=MOBE9EFYHNMFWHQG&lid=LSTMOBE9EFYHNMFWHQG72OVES&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBE9EFYHNMFWHQG.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,700",553 Ratings 
KARBONN K24 Plus Pro,https://www.flipkart.com/karbonn-k24-plus-pro/p/itmff8a97nh9q3ac?pid=MOBFF8Y8QXN7MAAH&lid=LSTMOBFF8Y8QXN7MAAH6VUKIP&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBFF8Y8QXN7MAAH.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹1,299","2,043 Ratings "
Forme N5+ Selfie with Wireless FM,https://www.flipkart.com/forme-n5-selfie-wireless-fm/p/itmesp3pgafyrttd?pid=MOBESP3FAXJGYYPX&lid=LSTMOBESP3FAXJGYYPXLYFGMX&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBESP3FAXJGYYPX.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,₹860,528 Ratings 
"APPLE iPhone 8 Plus (Gold, 64 GB)",https://www.flipkart.com/apple-iphone-8-plus-gold-64-gb/p/itmexrgvuzgzttzh?pid=MOBEXRGV7EHHTGUH&lid=LSTMOBEXRGV7EHHTGUHS9DJVE&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEXRGV7EHHTGUH.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹49,900","3,441 Ratings "
"APPLE iPhone 8 Plus (Silver, 64 GB)",https://www.flipkart.com/apple-iphone-8-plus-silver-64-gb/p/itmexrgv7yfjbryy?pid=MOBEXRGVQGYYP8FV&lid=LSTMOBEXRGVQGYYP8FVDQUZL8&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEXRGVQGYYP8FV.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹49,900","3,441 Ratings "
"OPPO F1 Plus (Gold, 64 GB)",https://www.flipkart.com/oppo-f1-plus-gold-64-gb/p/itmehzhgq9rsyyzb?pid=MOBEHZHGVQQZBBGC&lid=LSTMOBEHZHGVQQZBBGCDCNLY1&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEHZHGVQQZBBGC.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹27,500","1,277 Ratings "
"YU Yunique 2 Plus (Champagne, 16 GB)",https://www.flipkart.com/yu-yunique-2-plus-champagne-16-gb/p/itmeww9jyzwjuvwh?pid=MOBEWW8FEMT7AGFW&lid=LSTMOBEWW8FEMT7AGFWIKGF9H&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEWW8FEMT7AGFW.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹7,999","7,325 Ratings "
"APPLE iPhone 8 Plus (Space Grey, 64 GB)",https://www.flipkart.com/apple-iphone-8-plus-space-grey-64-gb/p/itmexrgvehtzhh9v?pid=MOBEXRGVQKBREZP8&lid=LSTMOBEXRGVQKBREZP8PI8YSV&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBEXRGVQKBREZP8.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹49,900","3,441 Ratings "
"ringme Reno Plus (Blue, 16 GB)",https://www.flipkart.com/ringme-reno-plus-blue-16-gb/p/itma7cbd75a240dd?pid=MOBFYYUYKCGBZVDH&lid=LSTMOBFYYUYKCGBZVDHATS1NE&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBFYYUYKCGBZVDH.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹5,399",114 Ratings 
"LG Q Stylus+ (Black, 64 GB)",https://www.flipkart.com/lg-q-stylus-black-64-gb/p/itmfafhwtbhhmgvh?pid=MOBFAFHWXYWYS2M4&lid=LSTMOBFAFHWXYWYS2M46DTRLK&marketplace=FLIPKART&q=One+plus+mobile&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=SEARCH&iid=c2b2450e-7d0f-4260-8236-da9b7315c4db.MOBFAFHWXYWYS2M4.SEARCH&ppt=sp&ppn=sp&ssid=9gb39b372o0000001642002456392&qH=41770f9c094f7945,"₹24,000","1,359 Ratings "
